812,PROCHLORPERAZINE,N05AB04,Thuốc chống loạn thần (Phenothiazine); Chống nôn.,"Viên nén 5 mg, 10 mg; Thuốc đặt trực tràng.",Compazine,Hôn mê; Suy tủy nặng; Tổn thương gan nặng; Dùng cho trẻ em dưới 2 tuổi.,"Rượu, Barbiturat; Thuốc kháng Cholinergic."
813,PROCYCLIDINE,N04AA05,Thuốc kháng Cholinergic (Điều trị Parkinson do thuốc).,Viên nén 5 mg.,Kemadrin,Glôcôm góc đóng; Tắc nghẽn đường tiểu; Tắc ruột.,Thuốc kháng Cholinergic khác (tăng tác dụng phụ); Thuốc chống loạn thần (tăng nguy cơ loạn vận động muộn).
814,PROGESTERONE,G03DA04,Hormone Progestin.,"Viên nang 100 mg, 200 mg; Thuốc tiêm.","Prometrium, Proges","Có thai; Chảy máu âm đạo không rõ nguyên nhân; Ung thư vú, tuyến sinh dục.","Rifampicin, Carbamazepine, Phenytoin (giảm nồng độ)."
815,PROMETHAZINE,R06AD02,"Thuốc kháng Histamin H1 thế hệ 1; Chống nôn, An thần.",Viên nén 25 mg; Xi rô.,"Phenergan, Prome",Hôn mê; Trẻ em dưới 2 tuổi (nguy cơ suy hô hấp); Glôcôm góc đóng.,"Rượu, Thuốc ức chế TKTW (tăng an thần); Thuốc ức chế MAO."
816,PROPAFENONE,C01BC03,Thuốc chống loạn nhịp nhóm IC.,"Viên nén 150 mg, 300 mg.","Rythmol, Propa",Suy tim sung huyết không kiểm soát; Block tim độ 2/3; Bệnh phổi tắc nghẽn nặng.,"Thuốc ức chế CYP2D6 (Fluoxetine, Quinidine - tăng nồng độ Propafenone); Warfarin (tăng tác dụng chống đông)."
817,PROPOFOL,N01AX10,Thuốc gây mê tĩnh mạch.,Nhũ tương tiêm 10 mg/ml.,"Diprivan, Propo",Quá mẫn với Lecithin/Đậu nành/Trứng; Sốc.,"Benzodiazepine, Opioid (tăng tác dụng an thần); Thuốc giãn cơ."
818,PROPRANOLOL,C07AA05,Thuốc chẹn beta không chọn lọc.,"Viên nén 10 mg, 40 mg, 80 mg.","Inderal, Propr","Hen phế quản; Nhịp chậm xoang, Block tim độ 2/3; Sốc tim; Suy tim sung huyết không kiểm soát.","Verapamil, Diltiazem (nguy cơ nhịp chậm nặng); Cimetidine, Fluoxetine (tăng nồng độ); Thuốc hạ đường huyết."
819,PROPYLTHIOURACIL (PTU),H03BA02,Thuốc kháng giáp.,"Viên nén 50 mg, 100 mg.",PTU,Quá mẫn; Viêm gan nặng; Rối loạn máu.,Warfarin (tăng tác dụng chống đông - cần theo dõi).
820,PYRAZINAMIDE (PZA),J04AK01,Thuốc chống lao.,Viên nén 500 mg.,PZA,Bệnh gan cấp tính; Tăng acid uric máu cấp tính/Gout.,Không có tương tác thuốc đáng kể.
821,PHENAZOPYRIDINE (PYRIDIUM),G04BX06,Thuốc giảm đau đường niệu.,"Viên nén 100 mg, 200 mg.",Pyridium,Suy thận nặng; Viêm gan.,Không có tương tác thuốc đáng kể.
822,PYRIDOSTIGMINE,N07AA02,Thuốc ức chế Cholinesterase.,Viên nén 60 mg; Thuốc tiêm 5 mg/ml.,Mestinon,Tắc nghẽn cơ học đường tiêu hóa/tiết niệu; Quá mẫn với Bromide.,Thuốc kháng Cholinergic (đối kháng tác dụng); Thuốc giãn cơ không khử cực.
823,QUINAPRIL,C09AA06,Thuốc ức chế men chuyển (ACEI).,"Viên nén 5 mg, 10 mg, 20 mg, 40 mg.",Accupril,Có thai (3 tháng giữa và cuối); Tiền sử phù mạch do ACEI; Hẹp động mạch thận hai bên.,"Thuốc lợi tiểu giữ Kali, Kali bổ sung (tăng nguy cơ tăng Kali máu); NSAIDs; Lithium; Vàng."
824,QUINIDINE,C01BA01,Thuốc chống loạn nhịp nhóm IA.,"Viên nén 200 mg, 300 mg.",Quinaglute,Block tim độ 2/3; Rối loạn nhịp thất nặng; Kéo dài khoảng QT nghiêm trọng.,Digoxin (tăng nồng độ Digoxin); Thuốc kéo dài khoảng QT khác; Thuốc ức chế CYP3A4.
825,RABEPRAZOLE,A02BC04,Thuốc ức chế bơm proton (PPI).,"Viên nén 10 mg, 20 mg.","Aciphex, Rabe",Quá mẫn; Đang dùng Nelfinavir.,"Clopidogrel (giảm tác dụng chống kết tập); Warfarin, Diazepam, Phenytoin (tăng nồng độ); Atazanavir."
826,RANITIDINE,A02BA02,Thuốc kháng Histamin H2.,"Viên nén 150 mg, 300 mg; Thuốc tiêm 25 mg/ml.","Zantac, Rantidine",Quá mẫn; Rối loạn chuyển hóa Porphyrin cấp tính.,"Giảm hấp thu thuốc cần môi trường acid (Ketoconazole, Itraconazole); Warfarin (tăng tác dụng chống đông nhẹ)."
827,REPAGLINIDE,A10BX02,Thuốc chống đái tháo đường (Meglitinide).,"Viên nén 0.5 mg, 1 mg, 2 mg.","Prandin, Repa",Nhiễm toan ceton; Dùng đồng thời với Gemfibrozil.,"Gemfibrozil, Thuốc ức chế CYP2C8/3A4 (tăng nguy cơ hạ đường huyết); Thuốc cảm ứng CYP (giảm tác dụng)."
828,RIFAMPICIN (RIFAMPIN),J04AB02,Thuốc chống lao.,"Viên nang 150 mg, 300 mg.","Rifadin, Rifa",Quá mẫn; Dùng đồng thời với Thuốc ức chế Protease HIV (trừ Ritonavir liều thấp).,"Thuốc cảm ứng CYP mạnh (giảm nồng độ Thuốc tránh thai, Warfarin, Digoxin, Corticosteroid, Thuốc HIV)."
829,RIFAXIMIN,A07AA11,"Kháng sinh không hấp thu (Điều trị Tiêu chảy, Hôn mê gan).","Viên nén 200 mg, 550 mg.",Xifaxan,Tắc ruột; Quá mẫn.,Cyclosporine (tăng nồng độ Rifaximin toàn thân - không đáng kể).
830,RISPERIDONE,N05AX08,Thuốc chống loạn thần không điển hình.,"Viên nén 1 mg, 2 mg, 3 mg; Dung dịch uống.","Risperdal, Risp",Quá mẫn; Sa sút trí tuệ (tăng nguy cơ tử vong).,"Rượu, Thuốc ức chế TKTW; Carbamazepine (giảm nồng độ Risperidone); Fluoxetine, Paroxetine (tăng nồng độ)."
831,RITONAVIR,J05AE03,Thuốc kháng virus (Ức chế Protease).,Viên nén 100 mg; Dung dịch uống.,"Norvir, Rito","Quá mẫn; Dùng đồng thời với Alprazolam, Amiodarone, Cisapride (rất nhiều CCĐ).",Thuốc ức chế CYP mạnh (tăng nồng độ nhiều thuốc); Thuốc cảm ứng CYP (giảm nồng độ Ritonavir).
832,RIVAROXABAN,B01AF01,Thuốc chống đông máu (Ức chế Xa trực tiếp).,"Viên nén 10 mg, 15 mg, 20 mg.",Xarelto,Chảy máu bệnh lý đang hoạt động; Suy gan nặng; Dùng đồng thời với thuốc ức chế/cảm ứng CYP3A4/P-gp mạnh.,"Thuốc ức chế/cảm ứng CYP3A4/P-gp mạnh (Azole, Rifampicin); Thuốc chống đông khác (tăng nguy cơ chảy máu)."
833,ROPINIROLE,N04BC04,Thuốc điều trị Parkinson (Đồng vận Dopamine).,"Viên nén 0.25 mg, 0.5 mg, 1 mg.","Requip, Ropin",Quá mẫn.,"Ciprofloxacin, Fluvoxamine (tăng nồng độ Ropinirole); Thuốc chống loạn thần (đối kháng tác dụng)."
834,ROPIVACAINE,N01BB09,Thuốc gây tê cục bộ (Nhóm Amide).,"Thuốc tiêm 2 mg/ml, 7.5 mg/ml, 10 mg/ml.","Naropin, Ropiv",Quá mẫn với thuốc gây tê nhóm Amide; Gây tê tĩnh mạch vùng.,Thuốc chống loạn nhịp (Lidocaine - tăng độc tính tim mạch); Thuốc ức chế CYP1A2 (Fluvoxamine).
835,ROSUVASTATIN,C10AA07,Thuốc ức chế HMG-CoA reductase (Statin).,"Viên nén 5 mg, 10 mg, 20 mg, 40 mg.","Crestor, Rosu","Bệnh gan hoạt động; Tăng transaminase không rõ nguyên nhân; Có thai, cho con bú.","Cyclosporine (tăng nồng độ Rosuvastatin rất cao); Gemfibrozil, Thuốc kháng đông (Warfarin)."
836,SALBUTAMOL (ALBUTEROL),R03AC02,Thuốc giãn phế quản (Chủ vận Beta-2 tác dụng ngắn).,"Thuốc hít 100 mcg/liều; Viên nén 2 mg, 4 mg; Dung dịch khí dung.","Ventolin, Salbu",Quá mẫn.,Thuốc chẹn beta không chọn lọc (đối kháng tác dụng); Thuốc lợi tiểu (tăng nguy cơ hạ Kali máu); Digoxin.
837,SALMETEROL,R03AC12,Thuốc giãn phế quản (Chủ vận Beta-2 tác dụng kéo dài).,Thuốc hít bột khô (Nhiều hàm lượng).,"Serevent, Salme",Điều trị cơn hen cấp tính; Chỉ dùng đơn độc (nên dùng kết hợp Corticosteroid).,"Thuốc chẹn beta không chọn lọc (đối kháng tác dụng); Thuốc ức chế CYP3A4 mạnh (Ritonavir, Azole - tăng nguy cơ độc tính tim)."
838,SCOPOLAMINE (HYOSCINE),A04AD01,Thuốc kháng Cholinergic; Chống say tàu xe.,Miếng dán; Thuốc tiêm 0.3 mg/ml.,Transderm Scop,Glôcôm góc đóng; Tắc nghẽn đường tiểu; Quá mẫn.,Thuốc kháng Cholinergic khác (tăng tác dụng phụ); Thuốc ức chế TKTW.
839,SELEGILINE,N04BD01,Thuốc điều trị Parkinson (Ức chế MAO-B chọn lọc).,Viên nén 5 mg.,"Eldepryl, Selegi","Đang dùng Thuốc ức chế MAO không chọn lọc, Pethidine, SSRI (nguy cơ hội chứng Serotonin).","Thuốc ức chế MAO khác, SSRI, TCA, Tramadol (nguy cơ hội chứng Serotonin); Meperidine."
840,SERTINDOL,N05AE03,Thuốc chống loạn thần không điển hình.,"Viên nén 4 mg, 12 mg, 20 mg.",Serdolect,Kéo dài khoảng QT; Suy tim sung huyết không kiểm soát; Hạ Kali/Magie máu.,Thuốc kéo dài khoảng QT khác; Thuốc ức chế CYP3A4/2D6 mạnh.
841,SERTRALINE,N06AB06,Thuốc chống trầm cảm (SSRI).,"Viên nén 50 mg, 100 mg.","Zoloft, Sertra",Đang dùng Thuốc ức chế MAO (nguy cơ hội chứng Serotonin); Dùng đồng thời với Pimozide.,"Thuốc ức chế MAO, Tryptophan, Tramadol (nguy cơ hội chứng Serotonin); Warfarin, NSAIDs (tăng nguy cơ chảy máu)."
842,SILDENAFIL,G04BE03,Thuốc điều trị rối loạn cương dương (Ức chế PDE5).,"Viên nén 25 mg, 50 mg, 100 mg.","Viagra, Silde","Đang dùng Nitrat hoặc các chất sinh NO (nguy cơ hạ huyết áp nghiêm trọng); Suy tim, nhồi máu cơ tim.","Nitrat (Chống chỉ định); Thuốc ức chế CYP3A4 mạnh (Azole, Ritonavir); Thuốc chẹn Alpha (nguy cơ hạ huyết áp)."
843,SIMVASTATIN,C10AA01,Thuốc ức chế HMG-CoA reductase (Statin).,"Viên nén 10 mg, 20 mg, 40 mg.","Zocor, Simva","Bệnh gan hoạt động; Tăng transaminase không rõ nguyên nhân; Có thai, cho con bú; Dùng đồng thời với thuốc ức chế CYP3A4 mạnh.","Thuốc ức chế CYP3A4 mạnh (Azole, Macrolide, Gemfibrozil, Cyclosporine, Amiodarone - tăng nguy cơ tiêu cơ vân); Warfarin."
844,SODIUM BICARBONATE,B05XA02,Chất Kiềm hóa; Điều trị nhiễm toan.,Viên nén 650 mg; Dung dịch tiêm truyền.,Bicarbonate,Nhiễm kiềm chuyển hóa; Giảm Clo máu; Tăng Natri máu; Tăng thông khí.,"Thuốc kháng acid chứa Calci/Magie (nguy cơ tăng Calci/Magie máu); Giảm nồng độ Lithum, Sắt."
845,SODIUM POLYSTYRENE SULFONATE,V03AE01,Trao đổi ion (Điều trị tăng Kali máu).,Bột pha hỗn dịch.,"Kayexalate, Resonium",Tắc ruột; Bệnh lý ruột hoại tử; Tăng Kali máu nặng đe dọa tính mạng (không dùng đơn độc).,"Thuốc kháng acid/Nhuận tràng có chứa Magie/Calci (nguy cơ tắc ruột, tăng Magie/Calci máu)."
846,SODIUM VALPROATE (VALPROIC ACID),N03AG01,Thuốc chống động kinh.,"Viên nén 250 mg, 500 mg; Xi rô.","Depakine, Valpro",Bệnh gan nặng; Rối loạn chu trình Ure; Rối loạn chuyển hóa Porphyrin; Có thai.,"Lamotrigine (tăng nồng độ Lamotrigine, tăng nguy cơ phát ban); Aspirin, Warfarin, Phenytoin, Carbapenem."
847,SOMATROPIN (GH),H01AC01,Hormone tăng trưởng.,Bột pha tiêm (Nhiều hàm lượng).,"Genotropin, Norditropin",U ác tính đang hoạt động; Bệnh lý cấp tính nặng sau phẫu thuật tim/bụng.,Corticosteroid (giảm tác dụng); Estrogen đường uống.
848,SPIRONOLACTONE,C03DA01,Thuốc lợi tiểu giữ Kali (Đối kháng Aldosterone).,"Viên nén 25 mg, 50 mg, 100 mg.","Aldactone, Spiro",Tăng Kali máu; Suy thận nặng; Bệnh Addison; Vô niệu.,"Thuốc lợi tiểu giữ Kali khác, ACEI/ARB (tăng nguy cơ tăng Kali máu); NSAIDs; Digoxin (giảm thanh thải)."
849,STREPTOMYCIN,J01GA01,Kháng sinh nhóm Aminoglycosid (Chống lao).,Bột pha tiêm 1 g.,Strepto,Quá mẫn với Aminoglycosid; Tổn thương dây thần kinh số 8.,"Thuốc lợi tiểu quai (tăng độc tính tai); Thuốc độc thận khác (Vancomycin, Amphotericin B); Thuốc giãn cơ."
850,SUCRALFATE,A02BX02,Thuốc bảo vệ niêm mạc (Điều trị loét).,Viên nén 1 g; Hỗn dịch uống.,"Carafate, Sucra",Quá mẫn.,"Phenytoin, Digoxin, Ciprofloxacin, Warfarin (giảm hấp thu - nên dùng cách xa 2 giờ)."
851,SULFAMETHOXAZOLE/TRIMETHOPRIM,J01EE01,Kháng sinh (Phối hợp Sulfonamide và Trimethoprim),"Viên nén (80 mg TMP/400 mg SMX), (160 mg TMP/800 mg SMX).","Bactrim, Cotrim",Thiếu máu nguyên hồng cầu khổng lồ do thiếu Folate; Suy gan/thận nặng; Trẻ sơ sinh.,Warfarin (tăng tác dụng chống đông); Phenytoin (tăng nồng độ Phenytoin); Methotrexate (tăng độc tính).
852,SULINDAC,M01AB03,Thuốc chống viêm không steroid (NSAID).,"Viên nén 150 mg, 200 mg.","Clinoril, Sulin",Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; 3 tháng cuối thai kỳ; Polyp mũi/phù mạch do Aspirin.,"Warfarin (tăng nguy cơ chảy máu); Methotrexate, Lithium, Thuốc lợi tiểu, ACEI/ARB."
853,SUMATRIPTAN,N02CC01,Thuốc trị đau nửa đầu (Chủ vận 5-HT1).,"Viên nén 25 mg, 50 mg, 100 mg; Thuốc tiêm.","Imitrex, Suma",Bệnh tim thiếu máu cục bộ; Tăng huyết áp không kiểm soát; Đang dùng MAOI.,"Thuốc ức chế MAO (trong vòng 2 tuần); SSRI, SNRI (nguy cơ hội chứng Serotonin)."
854,TACROLIMUS,L04AD02,Thuốc ức chế miễn dịch.,"Viên nang 0.5 mg, 1 mg, 5 mg; Thuốc tiêm.","Prograf, Tacro",Quá mẫn với Tacrolimus hoặc dầu thầu dầu (dạng tiêm).,"Thuốc ức chế/cảm ứng CYP3A4 mạnh (Azole, Macrolide, Rifampicin, St John's Wort - ảnh hưởng nồng độ)."
855,TAMOXIFEN,L02BA01,Thuốc kháng Estrogen.,"Viên nén 10 mg, 20 mg.","Nolvadex, Tamox","Có thai, cho con bú; Dùng đồng thời với Warfarin (tăng nguy cơ huyết khối).","Warfarin (tăng nguy cơ chảy máu); Paroxetine, Fluoxetine (giảm hiệu quả Tamoxifen)."
856,TAMSULOSIN,G04CA02,Thuốc chẹn Alpha-1 chọn lọc (Điều trị tăng sản tiền liệt tuyến),Viên nang 0.4 mg (Phóng thích kéo dài).,"Flomax, Tamsul",Quá mẫn; Tiền sử hạ huyết áp thế đứng do thuốc.,"Thuốc chẹn Alpha khác, Thuốc ức chế PDE5 (tăng nguy cơ hạ huyết áp); Thuốc ức chế CYP3A4/2D6."
857,TELMISARTAN,C09CA07,Thuốc chẹn thụ thể Angiotensin II (ARB).,"Viên nén 40 mg, 80 mg.","Micardis, Telmi",Có thai (3 tháng giữa và cuối); Hẹp động mạch thận hai bên; Quá mẫn.,"Thuốc lợi tiểu giữ Kali, Kali bổ sung (tăng nguy cơ tăng Kali máu); NSAIDs (giảm tác dụng, tăng độc tính thận); Lithium."
858,TEMAZEPAM,N05BA16,"Thuốc an thần, Benzodiazepine (Điều trị mất ngủ).","Viên nang 7.5 mg, 15 mg, 30 mg.","Restoril, Temaz",Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng.,"Rượu, Thuốc ức chế TKTW (tăng ức chế hô hấp)."
859,TENOFOVIR DISOPROXIL (TDF),J05AF07,Thuốc kháng virus (NRTI).,Viên nén 300 mg.,"Viread, Tenof",Suy thận nặng; Quá mẫn.,"Acyclovir, Valacyclovir, NSAIDs (tăng nồng độ Tenofovir, tăng độc tính thận); Didanosine (tăng nồng độ Didanosine)."
860,TERAZOSIN,C02CA04,Thuốc chẹn Alpha-1.,"Viên nén 1 mg, 2 mg, 5 mg, 10 mg.","Hytrin, Terazo",Quá mẫn; Tiền sử hạ huyết áp thế đứng do thuốc.,Thuốc hạ huyết áp khác (tăng nguy cơ hạ huyết áp quá mức); Thuốc ức chế PDE5.
861,TERBUTALINE,R03AC03,Thuốc giãn phế quản (Chủ vận Beta-2).,"Viên nén 2.5 mg, 5 mg; Thuốc tiêm.","Bricanyl, Terbuta",Quá mẫn.,Thuốc chẹn beta không chọn lọc (đối kháng tác dụng); Thuốc lợi tiểu (tăng nguy cơ hạ Kali máu); Thuốc chống trầm cảm ba vòng.
862,TESTOSTERONE,G03BA03,Hormone Androgen.,Thuốc tiêm (Nhiều dạng); Gel bôi; Miếng dán.,"Testo, Androgel","Ung thư tuyến tiền liệt/vú (nam); Có thai, cho con bú; Bệnh gan nặng.",Warfarin (tăng tác dụng chống đông); Thuốc chống đái tháo đường (tăng nguy cơ hạ đường huyết).
863,TETRACYCLINE,J01AA07,Kháng sinh nhóm Tetracycline.,"Viên nang 250 mg, 500 mg.","Tetra, TCN","Có thai, cho con bú; Trẻ em dưới 8 tuổi (nguy cơ biến màu răng); Suy thận nặng.","Thuốc kháng acid, Sắt, Calci, Magie (giảm hấp thu - nên dùng cách xa 2 giờ); Warfarin (tăng tác dụng chống đông)."
864,THEOPHYLLINE,R03DA04,Thuốc giãn phế quản (Methylxanthine).,"Viên nén 100 mg, 200 mg, 300 mg (Phóng thích kéo dài).","Theocin, Theo",Loét dạ dày tá tràng tiến triển; Rối loạn nhịp tim không kiểm soát.,"Thuốc ức chế CYP1A2/3A4 (Cimetidine, Erythromycin, Fluoroquinolone - tăng nồng độ, tăng độc tính); Rifampicin (giảm nồng độ)."
865,THIAMINE (VITAMIN B1),A11DA01,Vitamin.,"Viên nén 50 mg, 100 mg; Thuốc tiêm.","Thiamine, B1",Quá mẫn.,Không có tương tác thuốc đáng kể (liều thường).
866,TIAGABINE,N03AG06,Thuốc chống động kinh.,"Viên nén 2 mg, 4 mg, 12 mg, 16 mg.","Gabitril, Tiagab",Quá mẫn; Đang dùng thuốc cảm ứng enzym mạnh.,"Carbamazepine, Phenytoin, Phenobarbital (giảm nồng độ Tiagabine)."
867,TICARCILLIN/CLAVULANATE (Phối hợp),J01CR03,Kháng sinh Penicillin phổ rộng (có ức chế Beta-Lactamase),Bột pha tiêm (3.1 g).,"Timentin, Ticar","Quá mẫn với Penicillin, Cephalosporin, Ức chế Beta-Lactamase.",Probenecid (tăng nồng độ); Thuốc chống đông máu.
868,TICLOPIDINE,B01AC05,Thuốc chống kết tập tiểu cầu.,Viên nén 250 mg.,"Ticlid, Ticlop","Chảy máu bệnh lý đang hoạt động; Rối loạn tạo máu (Giảm bạch cầu trung tính, giảm tiểu cầu).","Warfarin, NSAIDs (tăng nguy cơ chảy máu); Digoxin (giảm nồng độ Digoxin); Antacid (giảm hấp thu)."
869,TIGECYCLINE,J01AA12,Kháng sinh nhóm Glycylcycline.,Bột pha tiêm 50 mg.,"Tygacil, Tyg",Quá mẫn với Glycylcycline/Tetracycline; Trẻ em dưới 8 tuổi.,Warfarin (tăng tác dụng chống đông).
870,TILUDRONATE,M05BA04,Thuốc Bisphosphonate.,Viên nén 200 mg.,Skelid,Quá mẫn; Suy thận nặng; Mềm xương.,"Antacid, Sắt, Calci (giảm hấp thu - nên dùng cách xa 2 giờ)."
871,TIMOLOL,C07AA06,Thuốc chẹn beta không chọn lọc.,"Viên nén 5 mg, 10 mg, 20 mg.","Blocadren, Timol","Hen phế quản; Nhịp chậm xoang, Block tim độ 2/3; Sốc tim; Suy tim sung huyết không kiểm soát.","Verapamil, Diltiazem (nguy cơ nhịp chậm nặng); Cimetidine, Fluoxetine (tăng nồng độ); Thuốc hạ đường huyết."
872,TINIDAZOLE,P01AB02,"Kháng sinh, Thuốc trị ký sinh trùng.",Viên nén 500 mg.,"Fasigyn, Tinida",3 tháng đầu thai kỳ; Rối loạn thần kinh; Rối loạn tạo máu.,Rượu (phản ứng giống Disulfiram); Warfarin (tăng tác dụng chống đông).
873,TIZANIDINE,M03BX02,Thuốc giãn cơ.,"Viên nén 2 mg, 4 mg.","Zanaflex, Tizan","Đang dùng Thuốc ức chế CYP1A2 mạnh (Fluvoxamine, Ciprofloxacin).","Thuốc ức chế CYP1A2 mạnh (Fluvoxamine, Ciprofloxacin - tăng nồng độ Tizanidine, nguy cơ hạ huyết áp); Rượu, Thuốc hạ huyết áp."
874,TOBRAMYCIN,J01GB01,Kháng sinh nhóm Aminoglycosid.,Thuốc tiêm 40 mg/ml; Thuốc nhỏ mắt.,"Tobrex, Tobra",Quá mẫn với Aminoglycosid.,"Thuốc lợi tiểu quai (tăng độc tính tai); Thuốc độc thận khác (Vancomycin, Amphotericin B); Thuốc giãn cơ."
875,TOCILIZUMAB,L04AC07,Kháng thể đơn dòng (Ức chế Interleukin-6).,Dung dịch tiêm 20 mg/ml.,Actemra,Nhiễm trùng nặng đang hoạt động; Quá mẫn.,"Ảnh hưởng đến hoạt tính CYP3A4 (giảm nồng độ Cyclosporine, Simvastatin)."
876,TOLAZAMIDE,A10BB03,Thuốc chống đái tháo đường nhóm Sulfonylure.,"Viên nén 100 mg, 250 mg.",Tolinase,Nhiễm toan ceton; Suy gan/thận nặng; Quá mẫn.,"Fluconazol, Chloramphenicol, Warfarin (tăng nguy cơ hạ đường huyết); Rượu."
877,TOLBUTAMIDE,A10BB03,Thuốc chống đái tháo đường nhóm Sulfonylure.,Viên nén 500 mg.,Orinase,Nhiễm toan ceton; Suy gan/thận nặng; Quá mẫn.,"Thuốc chẹn Beta, Fluconazol, NSAIDs (tăng nguy cơ hạ đường huyết); Rượu."
878,TOLCAPONE,N04BX01,Thuốc điều trị Parkinson (Ức chế COMT).,"Viên nén 100 mg, 200 mg.",Tasmar,Bệnh gan nặng; Tiền sử tiêu cơ vân; U tủy thượng thận.,Thuốc ức chế MAO không chọn lọc (nguy cơ tăng huyết áp); Thuốc cường giao cảm.
879,TOLMETIN,M01AB05,Thuốc chống viêm không steroid (NSAID).,"Viên nén 200 mg, 600 mg.",Tolectin,Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; 3 tháng cuối thai kỳ.,"Warfarin (tăng nguy cơ chảy máu); Methotrexate, Lithium, Thuốc lợi tiểu, ACEI/ARB."
