inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
ATENOLOL,Thuốc chẹn beta chọn lọc beta-1.,['Tenormin'],"['Viên nén 50 mg', 'Viên nén 100 mg']",atenolol,c07ab03,thuoc chen beta chon loc beta-1.,"['vien nen 50mg', 'vien nen 100mg']",['tenormin'],"['nen', '100mg', 'loc', 'vien', 'beta', 'thuoc', 'chon', 'beta1', 'c07ab03', 'chen', 'atenolol', '50mg', 'tenormin']",[],"{""oral""}",False,,[],"Nhịp chậm xoang, Block tim độ 2/3; Sốc tim; Suy tim sung huyết không kiểm soát.","{""cardiology""}"
ATORVASTATIN,Thuốc ức chế HMG-CoA reductase (Statin),"['Lipitor', 'Atorlip']","['Viên nén 10 mg', 'Viên nén 20 mg', 'Viên nén 40 mg']",atorvastatin,c10aa05,thuoc uc che hmg-coa reductase (statin),"['vien nen 10mg', 'vien nen 20mg', 'vien nen 40mg']","['lipitor', 'atorlip']","['che', 'nen', 'atorvastatin', 'reductase', 'vien', '10mg', 'atorlip', 'statin', 'c10aa05', 'thuoc', 'hmgcoa', 'uc', '40mg', 'lipitor', '20mg']",[],"{""oral""}",False,,['hepatic_toxic'],"Bệnh gan hoạt động; Tăng transaminase không rõ nguyên nhân; Có thai, cho con bú.",{}
AZITHROMYCIN,Kháng sinh nhóm Macrolide.,"['Zithromax', 'Azicap']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Bột pha hỗn dịch 200 mg/5 ml']",azithromycin,j01fa10,khang sinh nhom macrolide.,"['vien nen 250mg', 'vien nen 500mg', 'bot pha hon dich 200mg/5ml']","['zithromax', 'azicap']","['macrolide', 'j01fa10', 'vien', 'nhom', 'azithromycin', 'zithromax', 'sinh', 'bot', '200mg/5ml', 'pha', 'azicap', '250mg', 'hon', 'dich', 'nen', '500mg', 'khang']",[],"{""oral""}",True,,['hepatic_toxic'],Quá mẫn với Macrolide; Tiền sử rối loạn chức năng gan do Azithromycin.,"{""infectious""}"
BENZODIAZEPINE (CHUNG),"Thuốc an thần, giải lo âu.","['Xanax', 'Valium']",['Nhiều dạng và hàm lượng'],benzodiazepine (chung),n05ba,"thuoc an than, giai lo au.",['nhieu dang va ham luong'],"['xanax', 'valium']","['an', 'than', 'luong', 'dang', 'thuoc', 'lo', 'au', 'giai', 'xanax', 'n05ba', 'ham', 'valium', 'nhieu', 'chung', 'va', 'benzodiazepine']",[],"{""oral""}",False,,[],Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng.,"{""psychiatry""}"
BENZYL BENZOATE,"Thuốc trị ghẻ, chấy rận.",['Benzyl Benzoate'],['Nhũ dịch bôi 25%'],benzyl benzoate,p03ax01,"thuoc tri ghe, chay ran.",['nhu dich boi 25%'],['benzyl benzoate'],"['p03ax01', 'nhu', 'boi', 'benzoate', 'ghe', '25%', 'thuoc', 'chay', 'dich', 'benzyl', 'tri', 'ran']",[],"{""oral""}",False,2.0,[],Viêm da cấp tính; Trẻ nhỏ dưới 2 tuổi.,{}
BETAHISTINE,Thuốc điều trị chóng mặt (Meniere),"['Serc', 'Betaserc']","['Viên nén 8 mg', 'Viên nén 16 mg', 'Viên nén 24 mg']",betahistine,n07ca01,thuoc dieu tri chong mat (meniere),"['vien nen 8mg', 'vien nen 16mg', 'vien nen 24mg']","['serc', 'betaserc']","['24mg', 'vien', 'dieu', '8mg', '16mg', 'thuoc', 'meniere', 'chong', 'serc', 'n07ca01', 'tri', 'nen', 'betahistine', 'mat', 'betaserc']",[],"{""oral""}",False,,['renal_adjust'],U tủy thượng thận; Loét dạ dày tiến triển; Hen phế quản.,"{""neurology""}"
BISACODYL,Thuốc nhuận tràng kích thích.,"['Dulcolax', 'Bisacodyl']","['Viên nén 5 mg', 'Thuốc đặt trực tràng 10 mg']",bisacodyl,a06ab02,thuoc nhuan trang kich thich.,"['vien nen 5mg', 'thuoc dat truc trang 10mg']","['dulcolax', 'bisacodyl']","['truc', '10mg', 'vien', 'thich', 'nhuan', 'bisacodyl', 'a06ab02', 'trang', 'thuoc', '5mg', 'dulcolax', 'kich', 'dat', 'nen']",[],"{""oral""}",False,,[],"Tắc ruột; Đau bụng cấp, không rõ nguyên nhân; Mất nước nặng.","{""gastro""}"
BUPROPION,Thuốc chống trầm cảm; Hỗ trợ cai thuốc lá.,"['Wellbutrin', 'Zyban']","['Viên nén 150 mg', 'Viên nén 300 mg']",bupropion,n06ax12,thuoc chong tram cam; ho tro cai thuoc la.,"['vien nen 150mg', 'vien nen 300mg']","['wellbutrin', 'zyban']","['cai', 'vien', 'la', '150mg', 'cam', 'zyban', 'tram', 'ho', 'wellbutrin', 'thuoc', 'tro', 'chong', 'bupropion', 'n06ax12', 'nen', '300mg']",[],"{""oral""}",False,,[],Tiền sử co giật; Rối loạn ăn uống; Đang dùng thuốc ức chế MAO.,"{""psychiatry""}"
BUTORPHANOL,Thuốc giảm đau Opioid (Chủ vận/Đối kháng hỗn hợp),['Stadol'],"['Thuốc tiêm 1 mg/ml', 'Thuốc tiêm 2 mg/ml']",butorphanol,n02af01,thuoc giam dau opioid (chu van/doi khang hon hop),"['thuoc tiem 1mg/ml', 'thuoc tiem 2mg/ml']",['stadol'],"['opioid', 'n02af01', 'dau', '1mg/ml', 'van/doi', 'butorphanol', 'thuoc', 'chu', 'hon', 'tiem', '2mg/ml', 'giam', 'stadol', 'hop', 'khang']",[],"{""injection""}",False,,[],Quá mẫn; Bệnh nhân đang dùng Opioid mạnh (có thể gây hội chứng cai).,"{""pain""}"
CALCIUM GLUCONATE,Chất bổ sung Calci.,['Calciglucon'],['Dung dịch tiêm 10%'],calcium gluconate,a12aa03,chat bo sung calci.,['dung dich tiem 10%'],['calciglucon'],"['calci', 'sung', 'a12aa03', 'bo', 'gluconate', 'dung', 'dich', 'calciglucon', 'chat', 'tiem', '10%', 'calcium']",[],"{""injection""}",False,,['renal_adjust'],Tăng Calci máu; Rung thất; Đang dùng Digoxin (cần thận trọng).,{}
CAPTOPRIL,Thuốc ức chế men chuyển (ACEI).,"['Capoten', 'Captoril']","['Viên nén 12.5 mg', 'Viên nén 25 mg', 'Viên nén 50 mg']",captopril,c09aa01,thuoc uc che men chuyen (acei).,"['vien nen 12.5mg', 'vien nen 25mg', 'vien nen 50mg']","['capoten', 'captoril']","['che', 'nen', 'vien', '125mg', 'captopril', 'captoril', 'acei', 'thuoc', 'capoten', 'men', 'chuyen', '25mg', 'uc', 'c09aa01', '50mg']",[],"{""oral""}",False,,['renal_adjust'],Có thai (3 tháng giữa và cuối); Tiền sử phù mạch do ACEI; Hẹp động mạch thận hai bên.,"{""cardiology""}"
CEFACLOR,Kháng sinh nhóm Cephalosporin thế hệ 2.,"['Ceclor', 'Cefac']","['Viên nang 250 mg', 'Viên nang 500 mg', 'Bột pha hỗn dịch']",cefaclor,j01da08,khang sinh nhom cephalosporin the he 2.,"['vien nang 250mg', 'vien nang 500mg', 'bot pha hon dich']","['ceclor', 'cefac']","['j01da08', 'vien', 'he', '2', 'hon', 'cefac', 'cephalosporin', 'khang', 'nang', '250mg', 'cefaclor', 'dich', 'ceclor', 'nhom', 'sinh', 'bot', 'pha', 'the', '500mg']",[],"{""oral""}",True,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFALEXIN,Kháng sinh nhóm Cephalosporin thế hệ 1.,"['Keflex', 'Cefa']","['Viên nang 250 mg', 'Viên nang 500 mg', 'Bột pha hỗn dịch']",cefalexin,j01db01,khang sinh nhom cephalosporin the he 1.,"['vien nang 250mg', 'vien nang 500mg', 'bot pha hon dich']","['keflex', 'cefa']","['1', 'j01db01', 'vien', 'he', 'hon', 'cephalosporin', 'khang', 'nang', '250mg', 'dich', 'keflex', 'cefalexin', 'nhom', 'cefa', 'sinh', 'bot', 'pha', 'the', '500mg']",[],"{""oral""}",True,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFEPIME,Kháng sinh nhóm Cephalosporin thế hệ 4.,['Maxipime'],"['Bột pha tiêm 500 mg', 'Bột pha tiêm 1 g', 'Bột pha tiêm 2 g']",cefepime,j01de01,khang sinh nhom cephalosporin the he 4.,"['bot pha tiem 500mg', 'bot pha tiem 1g', 'bot pha tiem 2g']",['maxipime'],"['nhom', 'he', '4', 'sinh', 'bot', 'maxipime', 'pha', '2g', 'the', 'cefepime', 'tiem', 'j01de01', 'cephalosporin', '500mg', 'khang', '1g']",[],"{""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFIXIME,Kháng sinh nhóm Cephalosporin thế hệ 3.,"['Suprax', 'Cefim']","['Viên nén 100 mg', 'Viên nén 200 mg', 'Bột pha hỗn dịch']",cefixime,j01dd08,khang sinh nhom cephalosporin the he 3.,"['vien nen 100mg', 'vien nen 200mg', 'bot pha hon dich']","['suprax', 'cefim']","['200mg', 'cefim', '100mg', 'vien', 'he', 'hon', 'j01dd08', 'cephalosporin', 'khang', '3', 'dich', 'nen', 'nhom', 'suprax', 'sinh', 'bot', 'pha', 'the', 'cefixime']",[],"{""oral""}",True,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFOTETAN,Kháng sinh nhóm Cephalosporin thế hệ 2 (Có nhóm Methylthiotetrazole),['Cefotan'],"['Bột pha tiêm 1 g', 'Bột pha tiêm 2 g']",cefotetan,j01da13,khang sinh nhom cephalosporin the he 2 (co nhom methylthiotetrazole),"['bot pha tiem 1g', 'bot pha tiem 2g']",['cefotan'],"['methylthiotetrazole', 'nhom', 'he', 'j01da13', 'sinh', 'bot', 'co', 'pha', '2', '2g', 'cefotetan', 'the', 'cefotan', 'tiem', 'cephalosporin', 'khang', '1g']",[],"{""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin; Thiếu Vitamin K.","{""infectious""}"
CEFOXITIN,Kháng sinh nhóm Cephalosporin thế hệ 2.,['Mefoxin'],"['Bột pha tiêm 1 g', 'Bột pha tiêm 2 g']",cefoxitin,j01da07,khang sinh nhom cephalosporin the he 2.,"['bot pha tiem 1g', 'bot pha tiem 2g']",['mefoxin'],"['nhom', 'he', 'sinh', 'bot', 'mefoxin', 'pha', '2g', '2', 'cefoxitin', 'the', 'j01da07', 'tiem', 'cephalosporin', 'khang', '1g']",[],"{""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFPODOXIME,Kháng sinh nhóm Cephalosporin thế hệ 3.,"['Vantin', 'Cefpo']","['Viên nén 100 mg', 'Viên nén 200 mg', 'Hỗn dịch']",cefpodoxime,j01dd13,khang sinh nhom cephalosporin the he 3.,"['vien nen 100mg', 'vien nen 200mg', 'hon dich']","['vantin', 'cefpo']","['j01dd13', '3', 'vien', 'nhom', 'he', 'nen', 'sinh', '100mg', 'vantin', 'hon', 'dich', 'the', '200mg', 'cefpo', 'cephalosporin', 'cefpodoxime', 'khang']",[],"{""oral""}",True,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFPROZIL,Kháng sinh nhóm Cephalosporin thế hệ 2.,['Cefzil'],"['Viên nén 250 mg', 'Viên nén 500 mg', 'Bột pha hỗn dịch']",cefprozil,j01da23,khang sinh nhom cephalosporin the he 2.,"['vien nen 250mg', 'vien nen 500mg', 'bot pha hon dich']",['cefzil'],"['nen', 'vien', 'nhom', 'he', 'sinh', 'bot', 'pha', 'cefzil', '2', '250mg', 'hon', 'dich', 'the', 'j01da23', 'cephalosporin', '500mg', 'cefprozil', 'khang']",[],"{""oral""}",True,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFTAZIDIME,Kháng sinh nhóm Cephalosporin thế hệ 3.,"['Fortaz', 'Tazicef']","['Bột pha tiêm 500 mg', 'Bột pha tiêm 1 g', 'Bột pha tiêm 2 g']",ceftazidime,j01dd02,khang sinh nhom cephalosporin the he 3.,"['bot pha tiem 500mg', 'bot pha tiem 1g', 'bot pha tiem 2g']","['fortaz', 'tazicef']","['ceftazidime', '3', 'nhom', 'he', 'sinh', 'bot', '500mg', 'pha', '2g', 'fortaz', 'tazicef', 'the', 'tiem', 'cephalosporin', 'j01dd02', 'khang', '1g']",[],"{""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFUROXIME,Kháng sinh Cephalosporin thế hệ 2.,"['Zinnat', 'Cefuroxime']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Bột pha tiêm 750 mg', 'Bột pha tiêm 1.5 g']",cefuroxime,j01dc02,khang sinh cephalosporin the he 2.,"['vien nen 250mg', 'vien nen 500mg', 'bot pha tiem 750mg', 'bot pha tiem 1.5g']","['zinnat', 'cefuroxime']","['nen', '15g', 'vien', 'he', 'sinh', 'bot', 'pha', '2', '250mg', 'j01dc02', '750mg', 'the', 'zinnat', 'tiem', 'cephalosporin', '500mg', 'cefuroxime', 'khang']",[],"{""oral"",""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEPHRADINE,Kháng sinh Cephalosporin thế hệ 1.,['Velosef'],"['Viên nang 250 mg', 'Viên nang 500 mg', 'Bột pha tiêm 500 mg', 'Bột pha tiêm 1 g']",cephradine,j01db09,khang sinh cephalosporin the he 1.,"['vien nang 250mg', 'vien nang 500mg', 'bot pha tiem 500mg', 'bot pha tiem 1g']",['velosef'],"['vien', 'he', 'sinh', 'cephradine', 'nang', 'j01db09', 'bot', 'pha', '250mg', 'the', 'velosef', 'tiem', 'cephalosporin', '500mg', '1', 'khang', '1g']",[],"{""oral"",""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CETIRIZINE,Thuốc kháng Histamin H1 thế hệ 2.,"['Zyrtec', 'Cetiriz']","['Viên nén 5 mg', 'Viên nén 10 mg', 'Xi rô 5 mg/5 ml']",cetirizine,r06ae07,thuoc khang histamin h1 the he 2.,"['vien nen 5mg', 'vien nen 10mg', 'xi ro 5mg/5ml']","['zyrtec', 'cetiriz']","['10mg', 'histamin', 'he', 'vien', 'ro', 'cetiriz', '2', 'thuoc', '5mg', 'xi', 'the', 'zyrtec', 'cetirizine', 'h1', '5mg/5ml', 'nen', 'r06ae07', 'khang']",[],"{""oral""}",False,,['renal_adjust'],Quá mẫn; Suy thận nặng (cần điều chỉnh liều).,"{""allergy""}"
CHLOROTHIAZIDE,Thuốc lợi tiểu Thiazide.,['Diuril'],"['Viên nén 250 mg', 'Viên nén 500 mg']",chlorothiazide,c03aa03,thuoc loi tieu thiazide.,"['vien nen 250mg', 'vien nen 500mg']",['diuril'],"['chlorothiazide', 'loi', 'c03aa03', 'thiazide', 'vien', 'diuril', '250mg', 'thuoc', 'tieu', 'nen', '500mg']",[],"{""oral""}",False,,[],Vô niệu; Quá mẫn với Sulfonamide.,"{""cardiology""}"
CHLORZOXAZONE,Thuốc giãn cơ.,['Parafon Forte'],"['Viên nén 250 mg', 'Viên nén 500 mg']",chlorzoxazone,m03bb03,thuoc gian co.,"['vien nen 250mg', 'vien nen 500mg']",['parafon forte'],"['gian', 'vien', 'parafon', 'co', '250mg', 'm03bb03', 'thuoc', 'forte', 'chlorzoxazone', 'nen', '500mg']",[],"{""oral""}",False,,['hepatic_toxic'],Suy gan nặng; Quá mẫn.,"{""neurology""}"
CICLOSPORIN (CYCLOSPORINE),Thuốc ức chế miễn dịch.,"['Sandimmune', 'Neoral']","['Viên nang 25 mg', 'Viên nang 100 mg', 'Dung dịch uống 100 mg/ml']",ciclosporin (cyclosporine),l04ad01,thuoc uc che mien dich.,"['vien nang 25mg', 'vien nang 100mg', 'dung dich uong 100mg/ml']","['sandimmune', 'neoral']","['che', '100mg', 'vien', 'nang', 'cyclosporine', '25mg', 'dung', 'thuoc', 'sandimmune', 'dich', 'neoral', 'uong', 'ciclosporin', '100mg/ml', 'mien', 'uc', 'l04ad01']",[],"{""oral""}",False,,['renal_adjust'],Quá mẫn; Rối loạn chức năng thận/tăng huyết áp không kiểm soát.,"{""oncology""}"
CILAZAPRIL,Thuốc ức chế men chuyển (ACEI).,['Inhibace'],"['Viên nén 1 mg', 'Viên nén 2.5 mg', 'Viên nén 5 mg']",cilazapril,c09aa08,thuoc uc che men chuyen (acei).,"['vien nen 1mg', 'vien nen 2.5mg', 'vien nen 5mg']",['inhibace'],"['che', 'nen', 'vien', 'cilazapril', 'c09aa08', 'acei', 'thuoc', '5mg', 'men', '1mg', 'inhibace', 'chuyen', '25mg', 'uc']",[],"{""oral""}",False,,['renal_adjust'],Có thai (3 tháng giữa và cuối); Tiền sử phù mạch do ACEI; Hẹp động mạch thận hai bên.,"{""cardiology""}"
CIPROFLOXACIN (TIÊM),Kháng sinh nhóm Fluoroquinolone.,['Cipro IV'],['Dung dịch tiêm truyền 2 mg/ml'],ciprofloxacin (tiem),j01ma02,khang sinh nhom fluoroquinolone.,['dung dich tiem truyen 2mg/ml'],['cipro iv'],"['cipro', 'nhom', 'sinh', 'fluoroquinolone', 'truyen', 'dung', 'iv', 'dich', 'j01ma02', 'tiem', '2mg/ml', 'ciprofloxacin', 'khang']",[],"{""injection""}",False,,['hepatic_toxic'],Quá mẫn với Quinolone; Tiền sử đứt gân; Đang dùng Tizanidine.,"{""infectious""}"
CISAPRIDE,Thuốc tăng vận động dạ dày.,['Propulsid'],"['Viên nén 5 mg', 'Viên nén 10 mg']",cisapride,a03fa02,thuoc tang van dong da day.,"['vien nen 5mg', 'vien nen 10mg']",['propulsid'],"['tang', '10mg', 'vien', 'van', 'propulsid', 'cisapride', 'thuoc', '5mg', 'da', 'dong', 'day', 'nen', 'a03fa02']",[],"{""oral""}",False,,[],Kéo dài khoảng QT; Rối loạn nhịp tim; Dùng đồng thời với thuốc ức chế CYP3A4 mạnh.,"{""gastro""}"
CISPLATIN,Thuốc chống ung thư (Hợp chất Platinum).,['Platinol'],"['Bột pha tiêm 10 mg', 'Bột pha tiêm 50 mg']",cisplatin,l01xa01,thuoc chong ung thu (hop chat platinum).,"['bot pha tiem 10mg', 'bot pha tiem 50mg']",['platinol'],"['10mg', 'l01xa01', 'bot', 'pha', 'thu', 'thuoc', 'hop', 'platinol', 'chat', 'tiem', 'chong', 'platinum', 'ung', '50mg', 'cisplatin']",[],"{""injection""}",False,,['renal_adjust'],Suy thận nặng; Suy tủy nặng; Mất thính lực; Có thai.,"{""oncology""}"
CLARITHROMYCIN,Kháng sinh nhóm Macrolide.,"['Klacid', 'Clari']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Hỗn dịch uống']",clarithromycin,j01fa09,khang sinh nhom macrolide.,"['vien nen 250mg', 'vien nen 500mg', 'hon dich uong']","['klacid', 'clari']","['macrolide', 'vien', 'nhom', 'sinh', 'j01fa09', '250mg', 'hon', 'dich', 'uong', 'klacid', 'clarithromycin', 'nen', '500mg', 'clari', 'khang']",[],"{""oral""}",True,,[],"Quá mẫn với Macrolide; Đang dùng Cisapride, Pimozide, Ergotamine.","{""infectious""}"
CLEMASTINE,Thuốc kháng Histamin H1 thế hệ 1.,['Tavist'],"['Viên nén 1 mg', 'Xi rô']",clemastine,r06aa04,thuoc khang histamin h1 the he 1.,"['vien nen 1mg', 'xi ro']",['tavist'],"['histamin', 'he', 'vien', 'ro', 'tavist', 'r06aa04', 'thuoc', 'xi', 'the', 'h1', '1mg', 'clemastine', 'nen', '1', 'khang']",[],"{""oral""}",False,,[],Glôcôm góc đóng; Tắc nghẽn đường tiểu; Trẻ sơ sinh.,"{""allergy""}"
CLOMIPHENE,Thuốc kích thích rụng trứng.,"['Clomid', 'Clomip']",['Viên nén 50 mg'],clomiphene,g03gb02,thuoc kich thich rung trung.,['vien nen 50mg'],"['clomid', 'clomip']","['clomip', 'vien', 'clomiphene', 'thich', 'rung', 'thuoc', 'trung', 'g03gb02', 'kich', 'clomid', 'nen', '50mg']",[],"{""oral""}",False,,['hepatic_toxic'],Có thai; Bệnh gan; U nang buồng trứng không do PCOS.,"{""endocrinology""}"
CLONAZEPAM,"Thuốc chống động kinh, Benzodiazepine.","['Klonopin', 'Rivotril']","['Viên nén 0.5 mg', 'Viên nén 1 mg', 'Viên nén 2 mg']",clonazepam,n03ae01,"thuoc chong dong kinh, benzodiazepine.","['vien nen 0.5mg', 'vien nen 1mg', 'vien nen 2mg']","['klonopin', 'rivotril']","['vien', 'klonopin', 'thuoc', '05mg', 'clonazepam', '2mg', '1mg', 'chong', 'kinh', 'dong', 'n03ae01', 'rivotril', 'nen', 'benzodiazepine']",[],"{""oral""}",False,,['hepatic_toxic'],Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng; Suy gan nặng.,"{""neurology""}"
CLOPIDOGREL,Thuốc chống kết tập tiểu cầu.,"['Plavix', 'Clopi']",['Viên nén 75 mg'],clopidogrel,b01ac04,thuoc chong ket tap tieu cau.,['vien nen 75mg'],"['plavix', 'clopi']","['tap', 'vien', 'clopi', 'b01ac04', 'clopidogrel', 'cau', '75mg', 'thuoc', 'plavix', 'ket', 'chong', 'tieu', 'nen']",[],"{""oral""}",False,,[],Chảy máu bệnh lý đang hoạt động (ví dụ loét dạ dày); Quá mẫn.,"{""hematology""}"
CLOTRIMAZOLE,Thuốc chống nấm tại chỗ.,"['Canesten', 'Clotrim']","['Kem bôi 1%', 'Viên đặt âm đạo 100 mg', 'Viên đặt âm đạo 500 mg']",clotrimazole,d01ac01,thuoc chong nam tai cho.,"['kem boi 1%', 'vien dat am dao 100mg', 'vien dat am dao 500mg']","['canesten', 'clotrim']","['tai', 'dao', 'vien', '100mg', 'boi', '500mg', 'd01ac01', 'kem', 'thuoc', '1%', 'clotrim', 'chong', 'dat', 'nam', 'clotrimazole', 'am', 'canesten', 'cho']",[],"{""oral""}",False,,[],Quá mẫn.,"{""dermatology""}"
CODEINE,"Thuốc giảm đau Opioid, Thuốc chống ho.","['Codepect', 'Cod']","['Viên nén 10 mg', 'Viên nén 30 mg']",codeine,r05da04,"thuoc giam dau opioid, thuoc chong ho.","['vien nen 10mg', 'vien nen 30mg']","['codepect', 'cod']","['opioid', '10mg', 'vien', 'cod', 'codeine', 'r05da04', 'dau', 'ho', 'codepect', 'thuoc', 'chong', 'nen', 'giam', '30mg']",[],"{""oral""}",False,12.0,[],Suy hô hấp cấp; Trẻ em dưới 12 tuổi (nguy cơ chuyển hóa nhanh); Tiêu chảy do nhiễm khuẩn.,"{""respiratory""}"
COLCHICINE,Thuốc điều trị Gout cấp.,['Colgout'],"['Viên nén 0.5 mg', 'Viên nén 1 mg']",colchicine,m04ac01,thuoc dieu tri gout cap.,"['vien nen 0.5mg', 'vien nen 1mg']",['colgout'],"['vien', 'dieu', 'colgout', 'colchicine', 'thuoc', '05mg', 'm04ac01', '1mg', 'cap', 'gout', 'tri', 'nen']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Rối loạn máu nghiêm trọng; Suy thận/gan nặng; Dùng đồng thời với thuốc ức chế CYP3A4/P-gp mạnh.,"{""rheumatology""}"
COLESTIPOL,Thuốc hạ lipid máu (Nhựa gắn Acid Mật).,['Colestid'],[],colestipol,c10ac02,thuoc ha lipid mau (nhua gan acid mat).,[],['colestid'],"['c10ac02', 'nhua', 'acid', 'thuoc', 'lipid', 'colestipol', 'gan', 'mau', 'colestid', 'ha', 'mat']",[],"{""oral""}",False,,[],Tắc mật hoàn toàn; Quá mẫn.,{}
CROMOGLICIC ACID (CROMOLYN),Thuốc ổn định tế bào Mast (Điều trị hen/dị ứng),"['Intal', 'Cromolyn']","['Thuốc hít 20 mg/liều', 'Dung dịch nhỏ mắt 2%']",cromoglicic acid (cromolyn),r03bc01,thuoc on dinh te bao mast (dieu tri hen/di ung),"['thuoc hit 20mg/lieu', 'dung dich nho mat 2%']","['intal', 'cromolyn']","['20mg/lieu', 'nho', 'intal', 'mast', 'ung', 'acid', 'dung', 'tri', '2%', 'r03bc01', 'te', 'dinh', 'dich', 'mat', 'cromoglicic', 'on', 'dieu', 'hit', 'thuoc', 'bao', 'cromolyn', 'hen/di']",[],"{""ophthalmic"",""inhalation""}",False,,[],Quá mẫn.,"{""respiratory""}"
CYCLOPHOSPHAMIDE,Thuốc chống ung thư (Alkylating agent).,['Cytoxan'],"['Viên nén 50 mg', 'Bột pha tiêm 100 mg', 'Bột pha tiêm 500 mg']",cyclophosphamide,l01aa01,thuoc chong ung thu (alkylating agent).,"['vien nen 50mg', 'bot pha tiem 100mg', 'bot pha tiem 500mg']",['cytoxan'],"['100mg', 'vien', 'cytoxan', '500mg', 'bot', 'l01aa01', 'pha', 'thu', 'agent', 'thuoc', 'tiem', 'chong', 'alkylating', 'cyclophosphamide', 'nen', 'ung', '50mg']",[],"{""oral"",""injection""}",False,,[],Suy tủy nặng; Viêm bàng quang xuất huyết cấp tính.,"{""oncology""}"
CYPROHEPTADINE,Thuốc kháng Histamin H1 thế hệ 1; Kích thích ăn.,['Periactin'],"['Viên nén 4 mg', 'Xi rô']",cyproheptadine,r06ax02,thuoc khang histamin h1 the he 1; kich thich an.,"['vien nen 4mg', 'xi ro']",['periactin'],"['histamin', 'he', 'an', 'vien', 'thich', 'ro', 'thuoc', 'xi', 'the', 'r06ax02', 'h1', 'kich', 'cyproheptadine', '4mg', 'periactin', 'nen', '1', 'khang']",[],"{""oral""}",False,,[],Glôcôm góc đóng; Tắc nghẽn đường tiểu; Trẻ sơ sinh.,"{""allergy""}"
DABIGATRAN,Thuốc chống đông máu (Ức chế Thrombin trực tiếp),['Pradaxa'],"['Viên nang 75 mg', 'Viên nang 110 mg', 'Viên nang 150 mg']",dabigatran,b01ae07,thuoc chong dong mau (uc che thrombin truc tiep),"['vien nang 75mg', 'vien nang 110mg', 'vien nang 150mg']",['pradaxa'],"['che', 'truc', 'vien', '150mg', 'dabigatran', 'nang', '110mg', '75mg', 'thuoc', 'thrombin', 'uc', 'chong', 'mau', 'dong', 'tiep', 'pradaxa', 'b01ae07']",[],"{""oral""}",False,,['renal_adjust'],Chảy máu bệnh lý đang hoạt động; Suy thận nặng; Tổn thương cơ quan có nguy cơ chảy máu.,"{""hematology""}"
DAUNORUBICIN,Thuốc chống ung thư (Anthracycline).,['Cerubidine'],"['Bột pha tiêm 20 mg', 'Bột pha tiêm 50 mg']",daunorubicin,l01db02,thuoc chong ung thu (anthracycline).,"['bot pha tiem 20mg', 'bot pha tiem 50mg']",['cerubidine'],"['bot', 'pha', 'thu', 'thuoc', 'cerubidine', 'chong', 'l01db02', 'tiem', 'daunorubicin', 'ung', '50mg', 'anthracycline', '20mg']",[],"{""injection""}",False,,[],Suy tim nặng; Suy tủy nặng; Đang dùng liều tích lũy tối đa.,"{""oncology""}"
